Time,Estimation_0,Estimation_1,Estimation_2,Estimation_3,Estimation_4,Estimation_5,Estimation_6,Estimation_7,Estimation_8,Estimation_9,Estimation_10,Estimation_11,Estimation_12,Estimation_13,Estimation_14,Estimation_15,Estimation_16,Estimation_17,Estimation_18,Estimation_19,Estimation_20,Estimation_21,Estimation_22,Estimation_23,Estimation_24,Estimation_25,Estimation_26,Estimation_27,Estimation_28,Estimation_29,Estimation_30,Estimation_31,Estimation_32,Estimation_33,Estimation_34,Estimation_35,Estimation_36,Estimation_37,Estimation_38,Estimation_39,Estimation_40,Estimation_41,Estimation_42,Estimation_43,Estimation_44,Estimation_45,Estimation_46,Estimation_47,Estimation_48,Estimation_49
14,277153.7850898261,278628.3443521739,279671.51717173913,279148.1678883478,281753.651508,279478.34885426087,277449.0779110435,277403.4316331304,276452.2205206957,277532.7325790435,278437.7639286087,283725.6976042609,282324.1545209565,277149.72681591305,277352.4685686087,274114.41566834785,276622.7983494783,278186.2304487826,276071.5645186087,280293.7839771304,277644.39528069564,278532.5142755652,277511.5104872174,279271.92871921737,278363.6986787826,277964.512785913,279215.2430661739,282036.76253373915,277939.58937043475,273668.8218221739,279487.84355930437,276479.1544710435,281296.4102172174,282359.02798713045,277806.8057574783,278364.7513062609,275683.75071713043,280029.7787226087,278703.6977528696,275874.8330112174,276752.9594169565,278604.3163158261,279022.277737913,283478.56103130436,277640.3972821739,281298.9713288696,278012.60109930433,279643.94653565215,281520.0917971304,278078.6003177391
15,240910.50498278262,240074.6375221739,239757.3177173913,242391.132968,236330.63987400001,242146.21580295652,242479.88873226088,239666.6785833913,237699.7771801739,239224.10713191304,242993.2501749565,243363.40900469566,242950.64324913043,239497.0322381739,240639.9818966087,241283.6743721739,236759.52682069564,240197.39447991305,241108.63216686956,242085.7413306087,236882.4355133913,244276.48656086955,245384.593406,238881.76421886956,238517.6238833913,242879.43641973913,242008.69942269564,238716.56918652175,241734.5173947826,245467.32258947825,240676.43411434782,240521.61803008695,241893.63132443477,243230.62729278262,238844.6385127826,238290.55723826087,241198.447676,237697.151716,241090.327246,239886.99581573912,241147.58330565217,242030.31845634783,243343.4733201739,241045.52003434784,242847.99897086958,243605.50210730435,242427.4827012174,243072.9870593913,239222.66380365216,241406.48026617392
16,207844.8954166087,207811.41110391304,204892.33378191304,208382.05020330436,207431.2777209565,208730.32822782607,208122.9528661739,209439.2936903478,208199.80560330435,207336.57586617392,205572.5073303478,208863.67943660868,208334.6151189565,209357.27951791303,205688.3966246087,210812.87985443478,208042.35714243478,209068.7567347826,209427.2588612174,209800.5986046087,209286.24704226086,207610.86339626086,209224.62167686957,209323.35219573913,208383.46893608695,209379.5265873913,209256.04175791304,208122.88611547826,209174.16926895652,210257.10310765216,211197.62802426086,207188.78521243477,206870.6771053913,207988.2171366087,210489.97602191305,207648.01523704347,207142.084528,207994.19287347826,209616.58652321738,207337.59846608696,209912.51177904347,208410.55932591305,206657.97350252175,206123.8821655652,208879.6595947826,207373.31020886957,207845.80462113043,210696.1026838261,206405.30298217392,210209.30443626086
17,182718.58569069565,179707.75887904348,180696.2769430435,180027.91879486956,177918.97921452174,179598.86199008697,180118.92427808695,182412.21949078262,182203.3203853913,181685.7676678261,180406.4272738261,178662.8100904348,180258.0227287826,179550.05238269566,178404.81380634784,177521.70358208695,177322.4244872174,177625.11166930434,180024.0155052174,181043.00598660868,179262.0449407826,179205.42494191305,180495.02003713042,183822.02321104347,178348.1442121739,178331.77647565218,180533.64550652175,178743.78608904348,183662.41239730435,182187.18125252175,179503.64560817392,182018.88050252173,181391.97140904347,179447.79405373914,181012.2194741739,182319.17847269564,178942.67701947826,179176.35642773914,182095.34109565217,180206.17723643477,178630.44830660868,181951.99019313042,178921.17706043477,180058.49907921738,180793.0339,178472.2075473913,180455.1269143478,182128.64274434783,178211.0673338261,180193.90286452175
18,156541.4348198261,154857.03826382608,154036.82240191303,156952.13952417392,155008.3293201739,155233.7100072174,156028.45627921738,155256.45921834782,156053.61203791303,154439.99482226087,154024.20258408695,153746.1988346087,156734.87679356523,156141.9992787826,155527.41265243478,156401.9403695652,156468.43546643478,153442.43737886957,155909.95484286957,154687.5217767826,159448.0179547826,158760.4713032174,154172.01721739132,156317.69039886957,155686.30538721738,155673.84047373914,155156.49786252173,158966.52763330436,156953.0377966087,154726.61106034782,155041.1621692174,154926.04129669565,157237.6028993913,155145.73906547826,154706.39289956522,157049.4197941739,155132.06983173912,155784.49937165217,158872.52378426088,155628.36743573914,155140.29086486957,155795.74365808695,154920.18741904348,155131.68164008696,153783.7983587826,154220.36351565216,155269.23835382608,156336.42361208695,154239.5296658261,154830.27207513043
19,134161.87859208696,135739.9537806087,134036.67596365217,134970.45306791304,137021.745656,135325.75607008697,134295.50451191305,136346.45630886956,135572.7467773913,135274.222272,136649.14310904348,136238.26000347827,136612.08181173913,132822.16904565218,134481.88718704347,133849.20004052174,133876.7747373913,136479.48893026088,133975.97804965219,133226.2199347826,133322.44301269564,136766.80859426086,137462.26834808695,134735.4785967826,136159.88940573914,135109.93827069565,133723.75301991304,132065.11812773914,133063.6286666087,134005.80831234783,134475.5506893913,135003.01464330434,135878.328288,133226.87737669566,133071.46576965216,134950.84846547825,133676.4480667826,133869.95392086956,134899.74566434784,136746.21173165218,134747.51042095653,134741.62645547825,134669.1293806087,136112.57887886956,136171.4006750435,134318.03207904348,135929.14199617392,134193.66231034783,134072.6815427826,133514.71240573912
20,116735.7398523913,115515.45800609565,116822.51856185218,117065.17783265217,116175.53694901739,117501.38570207826,117155.51731953044,117306.80189766956,116110.04006958261,115715.7119033913,117089.14750968695,117515.48344332173,116805.27963233044,116655.1466270087,118101.4817338087,115756.08357543478,117081.32216355653,114898.5116000087,116639.04916166088,116194.44675923478,115535.11161743478,118477.84255452173,115944.01932308696,115233.56667654782,117170.62778795652,116236.07111862609,118221.29136557391,115553.65114683479,117976.96504246957,115900.48166685218,117753.47523578261,117354.02992472173,116846.7175972087,116797.16043125218,115466.66641146087,116572.19541950435,115437.45884390434,115606.78893005218,118215.41488210435,115638.14900997392,116611.92683777392,116336.46028866088,116761.66250666087,115446.88229689565,116270.1852990174,116118.23806760869,116830.38005295652,117764.27588722609,116558.4943210174,116149.31594449565
21,101171.77490466087,101905.11401355652,102150.65003541739,101384.16010833913,98672.66997735652,99572.49828886957,100654.37613150435,99475.15927223479,100479.70482748696,101231.00455413043,100075.77730646956,99509.4216091739,101826.22563288696,101601.13073607827,99967.07731472174,100192.57755604348,101042.23324872174,100455.54089525217,100368.14754450435,100328.01584573044,100781.85622236521,101572.99045842608,99576.73251756522,101238.66983037391,99732.18056527826,102445.36760764348,101195.88303285217,100993.27571166087,100040.02698055652,100867.4761386,100005.02956733914,102277.06219085217,100922.39371049566,101615.59524690436,100064.46018700869,101826.20135344348,100194.5813800174,101861.75826956522,102053.88740248696,101921.49983414782,100577.52973710434,101469.4566080174,100221.36453493913,101558.52115428695,100650.06358776522,101355.1413962,99040.63757538261,101178.30385414783,100359.08504243479,100942.62468484348
22,86605.48736974783,85942.01952563478,86555.36933392174,88079.53884229565,86524.53206946087,85886.3366485913,87602.43036998261,86188.21460595653,87268.78286016521,88334.95721192173,87184.10901731304,86426.71140719131,88704.89756953044,87135.40819862609,87390.39913772173,85370.71562307826,86225.44363895652,86825.71084953913,87730.10744469565,87695.16708207826,87650.93125406957,87685.17824866087,88638.30733956522,88643.21365568695,87396.1647589913,87401.38396503478,87706.93857749565,86559.80808412175,86793.24750710434,87311.6729869739,87252.43935165217,85310.15068110435,86791.5721267913,86865.8410199826,87914.29096989565,86684.9493518087,85598.78805995653,87982.38954188695,87312.86204733043,86452.79464153913,87356.30398506956,85834.49203893913,87120.39073,89518.2644322,86905.37227284348,87544.40649383479,87088.0950712,87093.49055546087,86403.2674518087,87834.31886366957
23,76703.0197284,76900.81461355652,75660.38457866956,75777.97228731304,74844.23006583478,75481.2915491913,74711.35347264347,75324.71400333043,75359.4964062087,76358.84880540869,74556.27374083477,76447.20741790434,75359.53080448696,75851.56065016522,75249.86935226087,75735.4738555826,76437.07326010434,75946.66495713043,76167.39716769566,75372.56477552174,74578.96302682608,75976.30100624348,75278.09414546087,75494.00888192173,75894.72627636521,76316.21948754783,75019.3579791913,74626.07849046956,75471.43546212174,75001.02835415651,75515.24572193914,74632.28046273043,76520.09087109566,74494.78672851305,76348.5781741826,74541.38584386956,76613.94427234783,75774.18635777391,75005.68846306087,75941.94160756521,75773.23573846086,76465.28907855653,75265.47336491305,75462.9773431826,75818.27959951304,73702.9155389826,74498.94088534782,76474.33082146957,73962.65419294783,76589.07369876522
24,64805.134343269565,64931.1470014,65750.74073168695,65087.386058591306,65078.180654,65042.20951561739,65843.9623221826,66194.61221572173,65081.43086616522,66090.43469274783,66113.9238358087,65260.47840462609,65273.22262597391,65669.47159188696,65300.43012005217,65603.09669852174,64964.50769356522,65701.06811605218,64199.663458704345,65224.28022403478,65443.275675313045,64842.210184313044,65850.88739585217,65356.724573008694,66255.2970002087,65100.97116261739,64653.971780852175,65957.18884121739,66193.49003425217,65008.95011861739,65583.87309906956,65144.08965945218,65148.811511069565,66265.55820621739,65713.18357275652,64896.598131304345,64429.54481727826,64805.73039655652,65349.34204773043,65660.19460953913,65845.91617123478,65245.499365408694,65186.53419767826,65408.41579129565,65005.764320686954,65706.60023104349,66283.71029515652,65277.6735076087,65979.58340437392,65539.34566451305
25,56670.487413469564,56794.23131228695,56452.661577930434,56992.57080070435,56680.4953848,55957.27819907826,56572.95162333913,57270.598055747825,56571.98934115652,56194.08111632174,57176.48366434783,57200.30794664348,55492.43929891304,57505.74432595652,56250.024592026086,56547.46265417391,56088.672334573916,56580.96878352174,56359.661553660866,56362.33707946087,56259.820915295655,55781.20102284348,56476.554324704346,56371.429712286954,56607.14689252174,56650.81563206087,56906.831333808695,56037.61383263478,56430.350504434784,56555.849419973914,56982.20369193044,56299.743913304344,55891.7534919913,56860.340368626086,56735.75419265217,57408.438141226085,56139.81034510435,56915.23308202608,56161.40559133043,55236.025242547825,56486.3328477913,56407.56867354782,56397.075150234785,57012.400802391305,55985.07234366956,55335.609246130436,56303.56485814782,56257.838329130434,56183.97794573913,57077.42181112174
26,48835.21791931304,48901.157078782606,48711.6546,49713.07824277391,49318.722721991304,48980.212226626085,48128.04383124348,48757.4753053913,48131.53696387826,48393.897005208695,48786.30666022609,48661.689960704345,48090.751278486954,48505.19370712174,48490.858398173914,49405.31737807826,49396.01495949565,49351.04726404348,48344.81834243478,48550.94676766087,48964.07224206957,49226.1763254087,48825.261058252174,48484.728420008694,48240.76788126957,49122.8437532087,48985.5434172,48888.655647895655,49360.87324011304,48821.02655330435,48800.62049647826,48836.54640398261,48636.42045649565,49053.65338752174,48035.87767013044,49186.3195786,50020.02080002609,48881.76056733913,48891.60548566087,49124.17416188696,48992.44164237391,49039.691091965215,48902.92160724348,48447.074506286954,48743.14248596522,49149.612449869564,48598.404580965216,49146.02258069565,48404.772493095654,48507.754918173916
27,42737.21168741739,42309.67368955652,42415.03437793044,41783.29325293913,41783.729496069565,41822.710973104346,41232.33851927826,41815.73021616522,41776.509264556524,42546.69355247826,42442.799563947825,42854.510930391305,42393.84391081739,41433.73849618261,42257.33477386087,42097.92030406087,42261.2406439913,41622.084279669565,41653.44356529565,41560.06103492174,42239.346052652174,42214.799071904345,42093.59046987826,42507.90702527826,42184.93868419131,41494.73721503478,42098.796898886954,42572.736754391306,42275.92008549565,42185.43767248696,42098.570491973915,42285.454730347825,42103.53076,42411.03196253913,42640.61215777391,41377.51491587826,41861.44890793913,42098.0939174,42459.79020806087,43139.23338251304,42079.45915649565,42598.3558113913,41990.56551946087,42661.79127730435,42338.973105286954,41633.48399524348,42263.712218556524,41626.8866112087,42504.867921034784,42029.82234055652
28,37044.107019730436,36322.721055904345,36901.66740115652,36309.85564332174,36464.44487278261,35519.996926834785,36093.427484382606,36769.47114073913,36295.202153191305,36412.78680553913,36314.117467295655,36472.499047,35866.99575830435,35553.09516773913,36590.42896284348,37054.31309211304,36471.64260967826,36271.7232142,35920.924494052175,36449.145554904346,36589.0044687913,36537.565993373915,36077.77709890435,36733.603848991304,36534.81786684348,36098.45766332174,36024.680326982605,36231.87510864348,36754.117302208695,36763.17625565217,36611.68006523478,36745.32503501739,36443.10162669565,36345.80015111304,37018.59294226087,36048.76242449565,35861.066495834784,35709.456407313046,36191.34099836522,36525.59068675652,35801.415415782605,36691.18004823478,36549.94212828696,36619.66734084348,35810.93466249565,36222.48407318261,36067.47531595652,36095.041211469565,36455.23988510435,36695.58132016522
29,31129.397928756523,32115.233745356523,31477.08202683478,31556.12128286087,31584.311334130434,32101.790247521738,31576.503728104348,31512.41188229565,31603.48345338261,31502.79475826087,31587.90135786087,31769.14510667826,31474.431209513044,31693.763229121738,31912.19387032174,31024.86945706087,31553.6214856,31531.54763206087,31903.37343215652,31524.50431093913,31218.35863266087,31585.80675309565,31373.243042756523,31643.493066017392,31394.898268130437,31509.936406713045,30958.06457895652,31218.920957530434,31755.328286713044,31704.15552973913,31082.355367330434,31427.532290773914,31543.683726556523,31450.620581086958,31755.957009547827,31451.393599191306,31339.5108924,31396.66578407826,31481.73892184348,31978.45429290435,31711.439896347827,31756.785650147827,31403.171221043478,31626.621695930437,31749.840751417392,31407.25415061739,31514.273717930435,31610.468706904347,31821.551168069567,32334.6084172
30,27238.75313198261,27595.716248130433,27376.637170991304,27447.313206695653,27452.100796652176,27604.635494643477,27800.578455852174,27430.271065521738,27583.65470801739,27706.2189134,27002.738887573913,26986.278712913045,27662.68775355652,26867.588839191303,26981.737132913044,26974.54742216522,27254.377250330435,27623.705848886955,27710.907537182607,27338.33731,27229.286953652172,27840.01888550435,27336.766154060868,27377.451069791303,27437.13713401739,27269.44001769565,27818.825634513043,27420.82077046087,27388.356779008696,27639.711547565217,27691.875262243477,28023.947806278262,27447.000040104347,27377.694670147826,27427.06770006087,27678.775517608694,27017.447841565216,27454.44782303478,27339.240377052174,27704.04890081739,27317.50459776522,27826.244414843477,27701.087324626085,27363.727660504348,27446.141041686955,27686.81003729565,27183.91835183478,27362.903572313044,27410.453428382607,27837.730359895653
31,23570.288578008694,23474.399651313044,23699.59749506087,23538.204816991303,23663.25934513913,23748.500045347828,23333.712704886955,23885.470799486957,23899.92190553913,23672.190926504347,23958.364705286956,23672.119079026088,23713.15772066087,23799.2864302,23606.3442438,23903.592143843478,23667.419898278262,23922.435227217393,23408.472503495654,23847.773196156522,23242.267370773912,23484.30271293913,23866.817292347827,23550.53970653913,23391.864708652174,23998.48668226087,23878.796867669564,23843.72918047826,23344.94084903478,23668.90653304348,23499.69122832174,23755.166687286957,23636.936729547826,23834.915551617392,23816.34221043478,23846.808736052175,23947.35075055652,23837.43417978261,23922.899139060868,23820.88312227826,23897.685376434783,24247.589666026088,23515.578146686956,23913.279575347828,23348.225421991305,24249.062747895652,23674.763208365217,24019.923715591303,23679.381670556522,23836.066594947828
32,20492.128521391303,20816.16086938261,20452.464393226088,20524.378020973912,20696.642907826088,20207.430856495652,20440.01844689565,20669.96390773913,20660.30300627826,20352.842957130433,20244.01262615652,20226.627588495652,20708.92684204348,20705.440997382608,20891.518139852174,20404.26947473913,20072.806855104347,20258.05941244348,20680.775366147827,20741.006531426086,20914.48638472174,20538.3654036,20592.124169530434,20745.61873513913,20455.94262941739,20525.091502991305,20245.878742304347,20382.91355173913,20548.71708184348,20520.085607991303,20586.60262067826,20528.995154843476,20572.056575791303,20334.71282661739,20355.83375953913,20362.89737044348,20409.506487208695,20336.756034069564,20490.715567469564,20488.588550286957,20241.571047773912,20224.723026852174,20328.51624806087,20556.225144495653,20414.08877484348,20310.892056043478,20636.633705286957,20079.72832801739,20478.978389052172,20551.858473495653
